created_at,source,text,label
2020-11-02 08:56:15+00:00,Twitter for Android,apa apa nih tiba tiba telkomsel hilang sinyal anak nih byu kompak enggak sinyal,negatif
2020-11-02 08:46:38+00:00,Twitter for Android,siang siang kuota gratis kak nindy terima kasih kak byu,positif
2020-11-02 08:29:45+00:00,Twitter for Android,sudah laksana s3 marketing bonus enggak turun saya bagaimana dong byu,negatif
2020-11-02 07:28:43+00:00,Twitter for Android,byu ajak ribut banget kalau mati listrik sinyal hilang,negatif
2020-11-02 06:51:44+00:00,Twitter for Android,aneh banget kuota byu ku deh habis ini bisa pakai haha,positif
2020-11-02 06:41:32+00:00,Twitter for iPhone,byu kemarin lelet benar deh hhhh,negatif
2020-11-02 06:31:45+00:00,Twitter for Android,halo byu mau isi pulsa belum juga,negatif
2020-11-02 06:03:12+00:00,Twitter for Android,halo kak nindy cek dm byu,positif
2020-11-02 05:57:22+00:00,Twitter for Android,telkomsel masalah apa bagaimana deh wifi tiba mati eh sinyal byu cuma hsdpa aneh banget,negatif
2020-11-02 05:57:00+00:00,Twitter for Android,enggak salah memang pilih provider byu hampir tahun lalu sering banget tiba kuota gratis,positif
2020-11-02 05:54:15+00:00,Twitter for Android,admin byu mau aktivasi login gmail begini melulu sim byu sim 1 wifi mati memang down apa bagaimana,negatif
2020-11-02 05:49:47+00:00,Twitter for Android,wow akhir provider internet bebas kamu bikin paket internet semua mau pesan sim kartu,positif
2020-11-02 05:30:21+00:00,Twitter for iPhone,terima kasih nindy byu,positif
2020-11-02 05:14:40+00:00,Twitter for Android,admin kok kuota spotify sama youtube enggak pakai padahal banyak byu,negatif
2020-11-02 04:56:40+00:00,Twitter for Android,telkomsel apa apa sih byu sama simpati enggak dua dua buat internet,negatif
2020-11-02 04:48:32+00:00,Twitter for Android,byu jelek banget tumben,negatif
2020-11-02 04:31:14+00:00,Twitter for iPhone,selamat 6 monthiversary terima kasih kuota gratis sayang byu,positif
2020-11-02 04:17:19+00:00,Twitter for Android,byu pakai gim rasa ping menang,negatif
2020-11-02 04:08:52+00:00,Twitter Web App,byu tumben banget buruk kayak indihome sinyal,negatif
2020-11-02 03:37:43+00:00,Twitter for Android,halo byu mau tanya ada pesan sim kartu baru sudah berapa hari lalu kok datang ya mungkin b,negatif
2020-11-02 03:31:52+00:00,Twitter for Android,cek dm byu dong,positif
2020-11-02 02:58:56+00:00,Twitter for Android,memang harus kandas kali awal pakai sinyal bagus makin sini makin parah padahal tahun kuota,negatif
2020-11-02 02:11:34+00:00,Twitter for Android,tahan paket ya kak byu gila sih good deals banget,positif
2020-11-02 02:09:51+00:00,Twitter for Android,wow akhir provider internet bebas kamu bikin paket internet semua mau pesan sim kartu,positif
2020-11-02 00:53:38+00:00,Twitter for Android,mon maaf kok youtube tiktok netflix enggak di akses sama sekali byu browsing lelet banget,negatif
2020-11-02 00:11:19+00:00,Twitter for Android,byu kok lelet anjing,negatif
2020-11-01 19:09:58+00:00,Twitter for Android,mau ganti provider saja kamu macet buat ml an byu,negatif
2020-11-01 18:42:56+00:00,Twitter for Android,andai aku ubah kuota tri byu,negatif
2020-11-01 18:20:14+00:00,Twitter for Android,simpati sama byu jadi alay jam gin,negatif
2020-11-01 16:54:55+00:00,Twitter for Android,memang mesti ganti provider sih byu makin gila jaring naik turun sering banget rto sial nya sih,negatif
2020-11-01 16:41:19+00:00,Twitter for Android,full 4g ping 300 byu pubgmobile pubgmobilein,negatif
2020-11-01 16:23:00+00:00,Twitter for Android,admin buat jaring nya bagus dong masa jelek banget byu,negatif
2020-11-01 15:16:19+00:00,Twitter for Android,byu sinyal nya bangsat banget woy,negatif
2020-11-01 15:14:04+00:00,Twitter for Android,admin mau tanya kalau beberapa orang keluh jaring telkomsel susah pengaruh byu enggak informasi aku used dua jujur,negatif
2020-11-01 14:48:51+00:00,Twitter for Android,halo nindy byu telkomsel kualitas sinyal nya mohon tingkat saking bagus ping nya 0ms jangan sih,negatif
2020-11-01 14:37:30+00:00,Twitter for Android,halo byu tadi pas buka byu lalu web pc promo 10gb 20 ribu 10 hari pas isi pulsa mau beli kok menu,negatif
