created_at,source,text,label
2020-11-02 08:58:29+00:00,Twitter for iPhone,"i layk dah beyu

yu du?

yesh

yu ar mah bess byu

ngii https://t.co/eomGi5DhLR",irrelevant
2020-11-02 08:56:15+00:00,Twitter for Android,"Apa apaan nih, tiba tiba @Telkomsel ilang sinyal. Anaknya juga nih @byu_id kompakan ga ada sinyal. 😆",negatif
2020-11-02 08:46:38+00:00,Twitter for Android,"siang siang dpt kouta gratis dri kak nindy, makasih yaa kakk😆 @byu_id https://t.co/XQKnGdILY2",positif
2020-11-02 08:29:45+00:00,Twitter for Android,Saya sudah melaksanakan S3 Marketing tapi rewardnya ga turun ke saya gimana dung ini ): @byu_id,negatif
2020-11-02 07:28:43+00:00,Twitter for Android,byu ngajak ribut bgt kalo mati listrik sinyalnya ilang 😇😇,negatif
2020-11-02 06:51:44+00:00,Twitter for Android,aneh banget kuota byu ku dah habis tp ini masih bisa dipake wkwkw,positif
2020-11-02 06:41:32+00:00,Twitter for iPhone,ini byu dr kemaren lelet bener deh hhhh,negatif
2020-11-02 06:31:45+00:00,Twitter for Android,"hello,  @byu_id , mau isi pulsa kenapa belum bisa juga ya? https://t.co/FZ6QgYHQm7",negatif
2020-11-02 06:03:12+00:00,Twitter for Android,Hallo kak nindy bisa cek dm ? @byu_id,netral
2020-11-02 05:57:22+00:00,Twitter for Android,ini telkom lagi bermasalah apa gimana deh?? wifi tiba-tiba mati eh sinyal byu juga cuma hsdpa aneh banget,negatif
2020-11-02 05:57:00+00:00,Twitter for Android,"ga salah emang milih provider byU hampir setahun lalu, sering bgt tiba-tiba dapet kuota gratis🥳",positif
2020-11-02 05:54:15+00:00,Twitter for Android,"min @byu_id mau aktivasi login gmail gini mulu, 
sim by.u SIM 1 ✅
wifi mati ✅
emang lagi down apa gimana ini https://t.co/srg5oJEBa9",negatif
2020-11-02 05:49:47+00:00,Twitter for Android,"Wow, akhirnya ada provider internet yang bebasin kamu bikin paket internet semuanya semaunya. Pesen SIM card-nya di… https://t.co/t6z1zDoaVR",positif
2020-11-02 05:30:21+00:00,Twitter for iPhone,Makasih nindy @byu_id https://t.co/ZGfH6k5vZJ,positif
2020-11-02 05:14:40+00:00,Twitter for Android,Min kok kuota spotify sama youtube gak bisa dipake ya? Padahal masih banyak :( @byu_id,negatif
2020-11-02 05:01:18+00:00,Twitter for Android,"Coba tebak mana yang bener, gaes?",irrelevant
2020-11-02 04:56:40+00:00,Twitter for Android,TLSEL APA APAAN SIH INI BYU SAMA SIMPATI GAK BISA DUA DUANYA BUAT INET.,negatif
