id_str,created_at,source,text,label
1323187715827904515,2020-11-02 08:58:29+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","i layk dah beyu

yu du?

yesh

yu ar mah bess byu

ngii https://t.co/eomGi5DhLR",-2
1323187154713866240,2020-11-02 08:56:15+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Apa apaan nih, tiba tiba @Telkomsel ilang sinyal. Anaknya juga nih @byu_id kompakan ga ada sinyal. 😆",-1
1323186108398665728,2020-11-02 08:52:06+00:00,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","Luhan Byu-Ti-Pul Byu-Ti-Pul Byu-Ti-Pul, Luhan cantik cantik dr hatinya. No Bash! No Protes! Gasuka?! End Chat aja.",-2
1323184730792079366,2020-11-02 08:46:38+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","siang siang dpt kouta gratis dri kak nindy, makasih yaa kakk😆 @byu_id https://t.co/XQKnGdILY2",1
1323180483694403585,2020-11-02 08:29:45+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Saya sudah melaksanakan S3 Marketing tapi rewardnya ga turun ke saya gimana dung ini ): @byu_id,-1
1323165125700849665,2020-11-02 07:28:43+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",byu ngajak ribut bgt kalo mati listrik sinyalnya ilang 😇😇,-1
1323155818770919424,2020-11-02 06:51:44+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",aneh banget kuota byu ku dah habis tp ini masih bisa dipake wkwkw,1
1323153249289998337,2020-11-02 06:41:32+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ini byu dr kemaren lelet bener deh hhhh,-1
1323150789225840640,2020-11-02 06:31:45+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hello,  @byu_id , mau isi pulsa kenapa belum bisa juga ya? https://t.co/FZ6QgYHQm7",-1
1323143603363852290,2020-11-02 06:03:12+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Hallo kak nindy bisa cek dm ? @byu_id,0
1323142136724824064,2020-11-02 05:57:22+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ini telkom lagi bermasalah apa gimana deh?? wifi tiba-tiba mati eh sinyal byu juga cuma hsdpa aneh banget,-1
1323142043258953728,2020-11-02 05:57:00+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ga salah emang milih provider byU hampir setahun lalu, sering bgt tiba-tiba dapet kuota gratis🥳",1
1323141350561210374,2020-11-02 05:54:15+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","min @byu_id mau aktivasi login gmail gini mulu, 
sim by.u SIM 1 ✅
wifi mati ✅
emang lagi down apa gimana ini https://t.co/srg5oJEBa9",-1
