created_at,source,text,label
2020-11-02 08:58:29+00:00,Twitter for iPhone, i layk deh beyu yuk du yesh yuk ar mah bess byu ngii,irrelevant
2020-11-02 08:56:15+00:00,Twitter for Android, apa apaan nih tiba tiba telkomsel hilang sinyal anaknya juga nih byuid kompakan enggak ada sinyal,negatif
2020-11-02 08:46:38+00:00,Twitter for Android, siang siang dapat kouta gratis dari kak nindy terima kasih ya kak byuid,positif
2020-11-02 08:29:45+00:00,Twitter for Android, saya sudah melaksanakan s3 marketing tapi rewardnya enggak turun ke saya bagaimana dong ini byuid,negatif
2020-11-02 07:28:43+00:00,Twitter for Android, byu mengajak ribut banget kalo mati listrik sinyalnya hilang,negatif
2020-11-02 06:51:44+00:00,Twitter for Android, aneh banget kuota byu ku deh habis tapi ini masih bisa dipakai wkwkw,positif
2020-11-02 06:41:32+00:00,Twitter for iPhone, ini byu dari kemarin lelet benar deh hhhh,negatif
2020-11-02 06:31:45+00:00,Twitter for Android, hello byuid mau isi pulsa kenapa belum bisa juga ya,negatif
2020-11-02 06:03:12+00:00,Twitter for Android, halo kak nindy bisa cek dm byuid,netral
2020-11-02 05:57:22+00:00,Twitter for Android, ini telkom lagi bermasalah apa bagaimana deh wifi tibatiba mati eh sinyal byu juga cuma hsdpa aneh banget,negatif
2020-11-02 05:57:00+00:00,Twitter for Android, enggak salah memang memilih provider byu hampir setahun lalu sering banget tibatiba dapat kuota gratis,positif
2020-11-02 05:54:15+00:00,Twitter for Android, min byuid mau aktivasi login gmail begini mulu sim byu sim 1 wifi mati memang lagi down apa bagaimana ini,negatif
2020-11-02 05:49:47+00:00,Twitter for Android, wow akhirnya ada provider internet yang bebasin kamu bikin paket internet semuanya semaunya pesan sim cardnya di,positif
2020-11-02 05:30:21+00:00,Twitter for iPhone, terima kasih nindy byuid,positif
2020-11-02 05:14:40+00:00,Twitter for Android, min kok kuota spotify sama youtube enggak bisa dipakai ya padahal masih banyak byuid,negatif
2020-11-02 05:01:18+00:00,Twitter for Android, coba tebak mana yang benar gaes,irrelevant
2020-11-02 04:56:40+00:00,Twitter for Android, tlsel apa apaan sih ini byu sama simpati enggak bisa dua duanya buat inet,negatif
2020-11-02 04:51:31+00:00,Twitter for Android, mbak afisk yuk sri di jak,irrelevant
2020-11-02 04:48:32+00:00,Twitter for Android, byu jelek banget tumben,negatif
2020-11-02 04:31:14+00:00,Twitter for iPhone, selamat 6 monthiversary terima kasih ya kuota gratisnya sayang byuid,positif
2020-11-02 04:17:19+00:00,Twitter for Android, byu dipakai gim rasanya ping ingin menangos,negatif
2020-11-02 04:08:52+00:00,Twitter Web App, ini byu tumben banget burik kayak indihome sinyalnya,negatif
2020-11-02 03:37:43+00:00,Twitter for Android, halo byuid mau tanya saya ada pesan sim card baru dan sudah berapa hari yang lalu tapi kok belum datang2 juga ya mungkin b,negatif
2020-11-02 03:31:52+00:00,Twitter for Android, cek dm byuid dong,netral
2020-11-02 02:59:09+00:00,Twitter for iPhone, i demand wifi on the train kai121 at least ada satu provider yang penuhin permintaan ini aku move on ke kalian dek,irrelevant
2020-11-02 02:58:56+00:00,Twitter for Android, memang sudah harus kandas kali ya awal pakai sinyalnya bagus makin ke sini makin parah padahal sudah setahun kuotan,negatif
2020-11-02 02:11:34+00:00,Twitter for Android, pertahankan paket ini ya kak byuid gila sih good deals banget,positif
2020-11-02 02:09:51+00:00,Twitter for Android, wow akhirnya ada provider internet yang bebasin kamu bikin paket internet semuanya semaunya pesan sim cardnya di,positif
2020-11-02 00:53:38+00:00,Twitter for Android, mon maaf kok youtube tiktoknetflix enggak bisa di akses sama sekali ya byuid browsing juga lelet banget,negatif
2020-11-02 00:11:19+00:00,Twitter for Android, byu kok lemot anjing,negatif
2020-11-01 19:09:58+00:00,Twitter for Android, mau ganti provider ajalah kamu ngelag buat mlan byuid,negatif
2020-11-01 18:42:56+00:00,Twitter for Android, andai aku bisa convert kuota tri ke byu,netral
2020-11-01 18:20:14+00:00,Twitter for Android, ini simpati sama byu kenapa jadi alay jam segini,negatif
2020-11-01 16:54:55+00:00,Twitter for Android, memang musti ganti provider sih byuid makin gila saja jaringannya naik turun sering banget rto sial nya lagi sih,negatif
2020-11-01 16:41:19+00:00,Twitter for Android, full 4g tapi ping 300an masih byuid pubgmobile pubgmobilein,negatif
2020-11-01 16:28:31+00:00,Twitter for Android, kayak pernah lihat tapi dimana ya,irrelevant
2020-11-01 16:23:00+00:00,Twitter for Android, min buat jaringan nya di bagusin lagi dong masa jelek banget byuid,negatif
2020-11-01 16:04:39+00:00,Twitter for Android, kenapa kenapa tiap mikseran selalu ada lagu kucing lesbian,irrelevant
2020-11-01 15:27:04+00:00,Twitter for Android, lihat video tim akhir nanti sih byu gantian gue bakar,irrelevant
